title,description,source,category
"Private companies added 155,000 jobs in March, more than expected, ADP says - CNBC","Payroll gains were stronger than expected in March, countering fears that the labor market and economy are slowing.",CNBC,business
"UFC signs wide-ranging sponsorship deal with Meta, bringing Mark Zuckerberg closer to Dana White - CNBC","Meta and mixed martial arts league UFC reached a multimillion-dollar, multiple-year sponsorship deal that will span the tech company's portfolio, UFC told CNBC.",CNBC,business
Boeing CEO faces Senate hearing on plane maker's recovery - CNBC,Boeing's CEO Kelly Ortberg faces senators' questions about its recovery from a series of manufacturing and safety crises.,CNBC,business
Wall Street Trading Desks Warn S&P 500 Selloff Will Get Worse - Bloomberg.com,"Wall Street trading desks disagree on many things, but there’s one view they now seem to share: President Donald Trump’s looming tariff announcement will likely exacerbate the S&amp;P 500 Index selloff, at least in the near term.",Bloomberg,business
Airlines warned Heathrow about power supply days before shutdown - BBC,MPs hear the airport was warned about power supply resilience days before the disruptive closure.,BBC News,business
Trump's new tariffs are poised to hit an already-battered economy - Business Insider,Trump said the nation would feel some financial pain due to tariffs. We're already in the thick of it.,Business Insider,business
Investors are turning bearish on the U.S. dollar as Trump tariffs loom - CNBC,"Market watchers told CNBC they saw upside for certain currencies amid ""erosion of confidence in the dollar.""",CNBC,business
Crypto scams down by 98% in March 2025 – Security risks no more? - AMBCrypto,"Despite a decline in overall crypto scam losses, why are smart contract breaches still a major concern?",Ambcrypto.com,business
Fox News Host Slams Elon Musk With Brutal Billion Dollar Question - Yahoo Finance,"The billionaire seemingly dodged Jessica Tarlov's question when asked to provide an ""explanation"" to the American people.",HuffPost,business
CNBC’s Jim Cramer Warns New Trump Tariffs Would Be “Horrendous For The Economy” - Deadline,"One day after comparing Trump's economic policies to those of Jimmy Carter, the CNBC host invoked the ghost of the Great Depression in his warnings against tariffs.",Deadline,business
"Newsmax: Trump-endorsed news outlet sees 2,200% share surge - BBC",Conservative US cable channel Newsmax started trading on the New York Stock Exchange on Monday.,BBC News,business
Anger against Trump is forecast to cost the US international visitors - AP News,An influential travel forecasting company says anger over the Trump administration’s tariffs and rhetoric will likely cause international travel to the U.S. to fall even further than expected this year. Tourism Economics said Tuesday it expects the number of …,Associated Press,business
Elon Musk's latest deal is raising major red flags - TheStreet,The controversial CEO recently made a shocking decision.,TheStreet,business
"How tariffs may shape the cost of imported food, starting with avocados - WBAL-TV","Since the early 2000s, U.S. consumers’ love for avocados has skyrocketed. We have it on toast, in guacamole, salads, sushi and more. With the looming threat of tariffs on agricultural products, the Hearst Television Data Team examined how this may impact the …",WBAL TV Baltimore,business
The health industry is starting to express alarm about RFK Jr. - Politico,Drug and medical device makers didn’t oppose Robert F. Kennedy Jr.’s confirmation as health secretary but are speaking up in opposition to the agency downsizing he ordered.,Politico,business
Coinbase Takes 50% Share of Circle's Residual USDC Reserve Revenue: Filing - Decrypt,"Coinbase receives half the revenue from Circle’s USDC reserves, deepening ties between the crypto giants, a new IPO filing reveals.",Decrypt,business
27 Dallas billionaires land on new Forbes list of world's richest people - CultureMap Dallas,"The world’s richest people are wealthier now than they've ever been, and more billionaires have made it onto the 2025 World's Billionaires List than ever before, according to Forbes. This year, 27 Dallas billionaires are among the richest people in the world.",Culturemap.com,business
Why gold prices are surging to record highs - NPR,Tariffs are roiling stock markets — but making gold hotter than ever.,NPR,business
Intel's New CEO Outlines Recovery Strategy. Wall Street Remains Cautious. - Investor's Business Daily,"Intel's new CEO, Lip-Bu Tan, offered his strategy for turning around the troubled chipmaker in a speech late Monday. But Intel stock fell.",Investor's Business Daily,business
Hims Stock Jumps After Adding Eli Lilly's Obesity Drug To Its Platform - Investor's Business Daily,Hims & Hers will sell Eli Lilly's Zepbound on its telehealth platform.,Investor's Business Daily,business
Wall Street hails Charlie Javice conviction—but wonders how JPMorgan failed to catch young woman’s $175 million fraud - Fortune,Charlie Javice could face 14 to 17.5 years when she is sentenced in July,Fortune,business
"No, Warren Buffett didn't buy Tesla, and all the other April Fools’ Day jokes we’ve caught today - Yahoo","Yahoo News breaks down some of today’s viral pranks that publications, government officials and celebrities have put out there.",Yahoo Entertainment,business
"Airline Stocks Sink as Waning Demand, Tariff Concerns Threaten Summer Travel - WSJ","Investors worry the companies aren’t reacting fast enough to falling consumer confidence, analysts say",The Wall Street Journal,business
"Meta loses its AI research head, as billions in investments hang in the balance - Business Insider",Joelle Pineau will leave the company in May. Pineau's successor remains unclear.,Business Insider,business
No batteries? Thinner packaging? US businesses look for ways to offset tariffs - AP News,Gadgets sold without batteries. Toys sold in slimmed-down boxes or no packaging at all. More household goods that shoppers need to assemble themselves. These are some of the ways consumer product companies are retooling their wares to reduce costs and avoid r…,Associated Press,business
J&J Effort to Use Bankruptcy to End Talc Cancer Claims Rejected - Bloomberg.com,Johnson &amp; Johnson shares fell the most in five years after the company’s plan to settle thousands of talc-related lawsuits through bankruptcy was shot down in court.,Bloomberg,business
"Trump administration might withhold CHIPS Act funding from Micron, others - Syracuse.com",President Donald Trump has repeatedly criticized the CHIPS Act and said Congress should get rid of it.,syracuse.com,business
Manufacturing PMI® at 49%; March 2025 Manufacturing ISM® Report On Business® - PR Newswire,/PRNewswire/ -- Economic activity in the manufacturing sector contracted in March after two consecutive months of expansion preceded by 26 straight months of...,PRNewswire,business
FDA's new commissioner Marty Makary signed off on Peter Marks ouster: Politico - Fierce Pharma,"It's not yet been a week since Marty Makary, M.D., was confirmed to lead the FDA as its commissioner. | Peter Marks, M.D., Ph.D., a target for RFK Jr. and allies, last week turned in his resignation as director of the FDA's Center for Biologics Evaluation and…",FiercePharma,business
BlackRock CEO issues stern warning about the economy - TheStreet,The billionaire has some tough words about the current state of the economy.,TheStreet,business
2026 Honda Passport TrailSport Is A Diamond At Roughing It - Jalopnik,"The new Passport is a successful reinvention of Honda's off-road-ready SUV, so hopefully all its capability won't just end up as parking lot theater.",Jalopnik,business
The unmistakable whiff of stagflation on the eve of tariff day - Financial Times,"While US economic pain is mostly visible in soft data, that is still a problem for the Federal Reserve",Financial Times,business
OpenAI’s now worth more than Chevron after SoftBank funding round - MarketWatch,SoftBank seeking co-investors for a quarter of its $40 billion funding of OpenAI,MarketWatch,business
BYD is piling on the pain for Tesla. These 5 charts break down how the rivals compare. - Business Insider,BYD is taking advantage of Tesla's rough year as the two rivals compete to be the world's largest EV maker.,Business Insider,business
